index,brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty,total_number_of_pixels,total_pixels_per_square_of_diag
95,lenovo,Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11),587.88,70,amd,ryzen 7,8,16,8,SSD,512,No secondary storage,0,amd,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
348,hp,HP 15s-FR5012TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),491.88,57,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
991,hp,HP Spectre x360 14-ef0075TU Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11),1859.99,73,intel,core i7,10,12,16,SSD,1024,No secondary storage,0,intel,integrated,1,13.5,3000,2000,windows,1,6000000,32921.81069958848
924,dell,Dell Inspiron 3525 D560771WIN9S Laptop (AMD Ryzen 5 5625U/ 8GB/ 512GB SSD/ Win11),539.88,62,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
936,honor,Honor MagicBook 15 BMH-WFQ9HN Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11),527.88,59,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
613,dell,Dell Alienware X16 Gaming Laptop (13th Gen Core i9/ 32GB/ 2TB SSD/ Win 11/ 16GB Graph),5453.88,83,intel,core i9,14,20,32,SSD,2048,No secondary storage,0,nvidia,dedicated,0,16.0,3200,1800,windows,1,5760000,22500.0
601,hp,HP Omen 16-wf0055TX Gaming Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),1679.88,77,intel,core i7,16,24,16,SSD,512,No secondary storage,0,nvidia,dedicated,0,16.1,1920,1080,windows,1,2073600,7999.691369931715
618,msi,MSI Creator Pro M16 B13VI-1273IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win 11/ 6GB Graph),1913.12,77,intel,core i7,14,20,16,SSD,1024,No secondary storage,0,nvidia,dedicated,0,16.0,1920,1200,windows,2,2304000,9000.0
100,lenovo,Lenovo IdeaPad Gaming 3 82SB00V3IN Laptop (AMD Ryzen 5 6600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),766.67,63,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
12,samsung,Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),779.88,68,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,0,13.3,1080,1920,windows,1,2073600,11722.539431284978
408,hp,HP 15s-fy5006TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),467.88,57,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
541,lenovo,Lenovo IdeaPad Slim 5 82XD003NIN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),806.28,62,intel,core i5,8,12,16,SSD,512,No secondary storage,0,intel,integrated,0,14.0,1920,1200,windows,2,2304000,11755.102040816326
46,hp,HP Omen 16-xf0060AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),1403.88,80,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,0,16.0,1920,1080,windows,1,2073600,8100.0
45,hp,HP Victus 15-fb0150AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),642.84,71,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,dedicated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
341,lenovo,Lenovo IdeaPad Gaming 3 Gen 6 82K2028QIN Laptop (AMD Ryzen 5 5500H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),622.73,65,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,nvidia,dedicated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
178,gigabyte,Gigabyte G5 MF-F2IN313SH Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),863.88,67,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,0,15.6,1920,1080,windows,2,2073600,8520.710059171599
819,asus,Asus ROG Zephyrus G14 2023 GA402XZ-N2020WS Gaming Laptop (AMD Ryzen 9 7940HS/ 32GB/ 1TB SSD/ Win11/ 12GB Graph),3131.88,89,amd,ryzen 9,8,16,32,SSD,1024,No secondary storage,0,nvidia,dedicated,0,14.0,2560,1600,windows,1,4096000,20897.95918367347
879,acer,Acer Nitro 5 AN515-46 Gaming Laptop (Ryzen 5 6600H/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),1067.88,65,amd,ryzen 5,6,12,16,SSD,1024,No secondary storage,0,nvidia,dedicated,0,15.6,2560,1440,windows,1,3686400,15147.92899408284
605,hp,HP 255 G8 Laptop (AMD Athlon 3050U/ 4GB/ 256GB SSD/ Win11),275.88,44,amd,other,2,2,4,SSD,256,No secondary storage,0,amd,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
761,dell,Dell Inspiron 5630 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),1138.8,71,intel,core i7,12,16,16,SSD,512,No secondary storage,0,intel,integrated,0,16.0,2560,1600,windows,1,4096000,16000.0
106,lenovo,Lenovo Yoga 7 82YM0074IN Laptop (AMD Ryzen 7 7735U/ 16GB/ 1TB SSD/ Win11 Home),1139.88,80,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,amd,integrated,1,14.0,2880,1800,windows,1,5184000,26448.979591836734
438,dell,Dell Vostro 3530 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),683.88,56,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
189,wings,Wings Nuvobook S1 Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),299.88,49,intel,core i3,4,8,8,SSD,256,No secondary storage,0,intel,integrated,0,15.6,1080,1920,windows,1,2073600,8520.710059171599
456,acer,Acer Aspire Lite 15 AL15-51 Laptop (11th Gen Core i3/16GB/ 512GB SSD/ Win11),419.88,62,intel,core i3,2,4,16,SSD,512,No secondary storage,0,intel,integrated,0,15.6,1920,1080,windows,1,2073600,8520.710059171599
