index,Price,Rating,processor_tier,num_cores,num_threads,ram_memory,primary_storage_capacity,secondary_storage_capacity,is_touch_screen,display_size,resolution_width,resolution_height,year_of_warranty,total_number_of_pixels,total_pixels_per_square_of_diag,gpu_brand_amd,gpu_brand_apple,gpu_brand_intel,gpu_brand_nvidia,gpu_type_integrated,OS_chrome,OS_other,OS_ubuntu,OS_windows,brand_acer,brand_asus,brand_avita,brand_chuwi,brand_dell,brand_fujitsu,brand_gigabyte,brand_honor,brand_hp,brand_iball,brand_infinix,brand_jio,brand_lenovo,brand_lg,brand_microsoft,brand_msi,brand_realme,brand_samsung,brand_tecno,brand_ultimus,brand_walker,brand_wings,brand_zebronics,processor_brand_amd,processor_brand_intel,primary_storage_type_SSD
767,0.7246022846243325,0.7498978897208987,5,0.783091851446946,0.7029266564879363,0.4117647058823529,0.8333333333333334,0.0,0,0.5287152957375304,0.7419899552832065,0.6096227194194181,1,0.695934049015321,0.645082930376133,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9,0.34619147768583103,0.41170864533696394,3,0.4421141086977403,0.35355339059327373,0.1764705882352941,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
810,0.6174911946393122,0.6078965282505107,5,0.5578858913022597,0.5946035575013605,0.4117647058823529,0.8333333333333334,0.0,0,0.4588455796878374,0.7419899552832065,0.5221120088126163,1,0.6453948234678526,0.6181646418685522,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
38,0.40855793177831634,0.4792375765827093,4,0.6476854623779971,0.47920732818470435,0.4117647058823529,0.8333333333333334,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
464,0.6395257715238161,0.7712729748127979,5,0.5578858913022597,0.5946035575013605,0.4117647058823529,0.6666666666666666,0.0,0,0.5287152957375304,0.49465997018880437,0.3706787238257263,1,0.4199439581387363,0.36207066105488117,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
663,0.5268846368265694,0.41170864533696394,4,0.6476854623779971,0.47920732818470435,0.4117647058823529,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
264,0.4172266172980179,0.41170864533696394,4,0.2789429456511298,0.35355339059327373,0.4117647058823529,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
315,0.4849345125277382,0.514635806671205,5,0.6476854623779971,0.47920732818470435,0.4117647058823529,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
751,0.5928511424622347,0.514635806671205,4,0.7210570543488701,0.5946035575013605,0.4117647058823529,0.8333333333333334,0.0,0,0.4588455796878374,0.8432520054519719,0.6199406601186785,1,0.7583909182105089,0.7340357628062186,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
583,0.523338054665323,0.6273655547991832,5,0.5578858913022597,0.5946035575013605,0.4117647058823529,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
635,0.2542043131836478,0.1851599727705922,1,0.2789429456511298,0.21022410381342865,0.058823529411764705,0.16666666666666666,0.0,1,0.24249425526215743,0.20197356871695504,0.0,1,0.042568253103393516,0.10645700616451581,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
715,0.44334288152374945,0.44492852280462897,4,0.2789429456511298,0.35355339059327373,0.1764705882352941,0.6666666666666666,0.0,0,0.24249425526215743,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.4416093787118154,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
725,0.41399201212646686,0.3955071477195371,4,0.6476854623779971,0.47920732818470435,0.1764705882352941,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
273,0.4165326963880627,0.44492852280462897,4,0.2789429456511298,0.35355339059327373,0.1764705882352941,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
622,0.5303836060274447,0.569775357385977,4,0.4421141086977403,0.47920732818470435,0.4117647058823529,0.6666666666666666,0.0,1,0.17431364928200496,0.49465997018880437,0.3706787238257263,3,0.4199439581387363,0.5438951788362045,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
309,0.4476749199631027,0.3795779441797141,4,0.6476854623779971,0.47920732818470435,0.1764705882352941,0.6666666666666666,0.0,0,0.24249425526215743,0.20197356871695504,0.0,1,0.042568253103393516,0.10645700616451581,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
426,0.2491413276108576,0.11817562968005448,1,0.0,0.12499999999999999,0.1764705882352941,0.33333333333333337,0.0,0,0.24249425526215743,0.14606793492563597,0.23894399559369095,1,0.14937136492981562,0.21597757247384486,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
161,0.31636367490121375,0.3185840707964602,4,0.2789429456511298,0.35355339059327373,0.1764705882352941,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
793,0.48076360736600443,0.4792375765827093,4,0.4421141086977403,0.47920732818470435,0.1764705882352941,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
652,0.1276016386901344,0.1079646017699115,1,0.0,0.12499999999999999,0.058823529411764705,0.33333333333333337,0.0,0,0.25341312743222466,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.4346074453347377,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
892,0.5195554234597757,0.4792375765827093,4,0.6476854623779971,0.47920732818470435,0.4117647058823529,0.6666666666666666,0.0,1,0.24249425526215743,0.49465997018880437,0.3706787238257263,1,0.4199439581387363,0.4934345035432841,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
562,0.7110589145336172,0.7079646017699116,5,0.783091851446946,0.7029266564879363,0.1764705882352941,0.8333333333333334,0.0,0,0.8095066593978082,0.7419899552832065,0.5221120088126163,2,0.6453948234678526,0.5164080741887638,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
796,0.36651621408254065,0.2756977535738598,3,0.4421141086977403,0.35355339059327373,0.1764705882352941,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
500,0.17241744564862338,0.1079646017699115,1,0.0,0.12499999999999999,0.058823529411764705,0.33333333333333337,0.0,0,0.24249425526215743,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.4416093787118154,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
158,0.4765248686125685,0.4792375765827093,4,0.5578858913022597,0.47920732818470435,0.1764705882352941,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
157,0.3531439918562944,0.3955071477195371,3,0.4421141086977403,0.35355339059327373,0.1764705882352941,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
726,0.5920019469721955,0.7287950987066032,5,0.5578858913022597,0.5946035575013605,0.4117647058823529,0.8333333333333334,0.0,0,0.8095066593978082,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.23339580486751288,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
934,0.6903071896632427,0.6273655547991832,5,0.6476854623779971,0.47920732818470435,0.4117647058823529,0.8333333333333334,0.0,1,0.19238368639142236,0.878348051619084,0.7949620813322813,1,0.8790508223334186,1.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
744,0.37295354554001303,0.3639210347174949,4,0.4421141086977403,0.47920732818470435,0.1764705882352941,0.6666666666666666,0.0,0,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
671,0.5681713484753277,0.514635806671205,4,0.4421141086977403,0.47920732818470435,0.4117647058823529,0.6666666666666666,0.0,1,0.4588455796878374,0.49465997018880437,0.2831680132189254,1,0.3694047325912688,0.33515237254730046,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
360,0.7860430746607461,0.792920353982301,5,0.8368288369533894,0.8059274488676564,0.4117647058823529,0.8333333333333334,0.0,0,0.5287152957375304,0.7419899552832065,0.6096227194194181,1,0.695934049015321,0.645082930376133,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
475,0.27538227231348134,0.1733151803948264,1,0.0,0.12499999999999999,0.1764705882352941,0.6666666666666666,0.0,0,0.4588455796878374,0.20197356871695504,0.0,1,0.042568253103393516,0.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
